id,model_name,benchmark,example_id,condition,context,retrace_prompt,retrace_chain,concepts,focus_baseline,focus_after,focus_gain,predicted,label,correct,log_probs,steering_applied,ablation,metadata,created_at
fdb65424-4f58-4550-b583-698d30d23bed,gpt2,hellaswag,0,baseline,A woman is outside with a bucket and a dog. The dog is running around trying to avoid a bath. She,A woman is outside with a bucket and a dog. The dog is running around trying to avoid a bath. She,['A woman is outside with a bucket and a dog. The dog is running around trying to avoid a bath. She'],"['running', 'around', 'trying', 'avoid', 'bath']",0.17500000100000002,0.17500000100000002,0.0,1,2,False,"[-5.526398658752441, -4.083459854125977, -4.324792385101318, -4.918289661407471]",False,baseline,{'prefix_len': 97},2026-07-08T16:56:11.039906+00:00
602cc439-7a95-4f03-8ebb-75b44e474bd2,gpt2,hellaswag,1,baseline,A man is at a bar and he is drinking a beer. He,A man is at a bar and he is drinking a beer. He,['A man is at a bar and he is drinking a beer. He'],"['drinking', 'beer']",0.17500000100000002,0.17500000100000002,0.0,3,1,False,"[-4.276650428771973, -4.753221035003662, -5.9771599769592285, -3.5304818153381348]",False,baseline,{'prefix_len': 47},2026-07-08T16:56:16.915822+00:00
e2d779eb-f86e-4d85-b07a-063ef23ea41e,gpt2,hellaswag,0,retrace,A woman is outside with a bucket and a dog. The dog is running around trying to avoid a bath. She,"A woman is outside with a bucket and a dog. The dog is running around trying to avoid a bath. She
Wait — let me retrace my reasoning step by step, focusing only on what matters.
Step 1: Restate the problem clearly.
Step 2: Identify the key concepts: running, around, trying, avoid, bath.
Step 3: Re-derive the answer carefully.","['A woman is outside with a bucket and a dog. The dog is running around trying to avoid a bath. She\nWait — let me retrace my reasoning step by step, focusing only on what matters.\nStep 1: Restate the problem clearly.\nStep 2: Identify the key concepts: running, around, trying, avoid, bath.\nStep 3: Re-derive the answer carefully.']","['running', 'around', 'trying', 'avoid', 'bath']",,,,2,2,True,"[-5.040078639984131, -5.335124492645264, -4.710774898529053, -6.345809459686279]",False,retrace,{'prefix_len': 327},2026-07-08T16:56:25.421860+00:00
90fc070b-6360-4ba7-9996-489e8a8c2a4d,gpt2,hellaswag,1,retrace,A man is at a bar and he is drinking a beer. He,"A man is at a bar and he is drinking a beer. He
Wait — let me retrace my reasoning step by step, focusing only on what matters.
Step 1: Restate the problem clearly.
Step 2: Identify the key concepts: drinking, beer.
Step 3: Re-derive the answer carefully.","['A man is at a bar and he is drinking a beer. He\nWait — let me retrace my reasoning step by step, focusing only on what matters.\nStep 1: Restate the problem clearly.\nStep 2: Identify the key concepts: drinking, beer.\nStep 3: Re-derive the answer carefully.']","['drinking', 'beer']",,,,3,1,False,"[-4.107756614685059, -6.256875038146973, -4.983259677886963, -3.9341647624969482]",False,retrace,{'prefix_len': 255},2026-07-08T16:56:32.408108+00:00
7f8c8fd3-5213-440e-8eb5-66c49d60305b,gpt2,hellaswag,0,extreme_retrace,A woman is outside with a bucket and a dog. The dog is running around trying to avoid a bath. She,"A woman is outside with a bucket and a dog. The dog is running around trying to avoid a bath. She
Answer with focused reasoning on running, around, trying, avoid, bath only. Do not speculate; commit only after verifying each step.

A woman is outside with a bucket and a dog. The dog is running around trying to avoid a bath. She
Wait — let me retrace my reasoning step by step, focusing only on what matters.
Step 1: Restate the problem clearly.
Step 2: Identify the key concepts: running, around, trying, avoid, bath.
Step 3: Re-derive the answer carefully.
I need to reconsider. My prior path may have been diffuse. Let me correct course and reason again, step by step, about running, around, trying, avoid, bath.
Focusing strictly on running, around, trying, avoid, bath, let me work through this again:
First, what is being asked? Second, which concepts apply? Third, the conclusion.

STRICT FOCUS MODE: Ignore irrelevant associations. Use only running, around, trying, avoid, bath. Verify each step before proceeding. Do not commit until reasoning is concentrated on the essential chain.","['A woman is outside with a bucket and a dog. The dog is running around trying to avoid a bath. She\nWait — let me retrace my reasoning step by step, focusing only on what matters.\nStep 1: Restate the problem clearly.\nStep 2: Identify the key concepts: running, around, trying, avoid, bath.\nStep 3: Re-derive the answer carefully.', 'A woman is outside with a bucket and a dog. The dog is running around trying to avoid a bath. She\nWait — let me retrace my reasoning step by step, focusing only on what matters.\nStep 1: Restate the problem clearly.\nStep 2: Identify the key concepts: running, around, trying, avoid, bath.\nStep 3: Re-derive the answer carefully.\nI need to reconsider. My prior path may have been diffuse. Let me correct course and reason again, step by step, about running, around, trying, avoid, bath.', 'A woman is outside with a bucket and a dog. The dog is running around trying to avoid a bath. She\nWait — let me retrace my reasoning step by step, focusing only on what matters.\nStep 1: Restate the problem clearly.\nStep 2: Identify the key concepts: running, around, trying, avoid, bath.\nStep 3: Re-derive the answer carefully.\nI need to reconsider. My prior path may have been diffuse. Let me correct course and reason again, step by step, about running, around, trying, avoid, bath.\nFocusing strictly on running, around, trying, avoid, bath, let me work through this again:\nFirst, what is being asked? Second, which concepts apply? Third, the conclusion.']","['running', 'around', 'trying', 'avoid', 'bath']",,,,2,2,True,"[-5.364713668823242, -5.418000221252441, -4.912852764129639, -6.656231880187988]",False,extreme_retrace,{'prefix_len': 1093},2026-07-08T16:56:42.521423+00:00
9b1a6326-2d03-4f74-914c-3ee9232268d8,gpt2,hellaswag,1,extreme_retrace,A man is at a bar and he is drinking a beer. He,"A man is at a bar and he is drinking a beer. He
Answer with focused reasoning on drinking, beer only. Do not speculate; commit only after verifying each step.

A man is at a bar and he is drinking a beer. He
Wait — let me retrace my reasoning step by step, focusing only on what matters.
Step 1: Restate the problem clearly.
Step 2: Identify the key concepts: drinking, beer.
Step 3: Re-derive the answer carefully.
I need to reconsider. My prior path may have been diffuse. Let me correct course and reason again, step by step, about drinking, beer.
Focusing strictly on drinking, beer, let me work through this again:
First, what is being asked? Second, which concepts apply? Third, the conclusion.

STRICT FOCUS MODE: Ignore irrelevant associations. Use only drinking, beer. Verify each step before proceeding. Do not commit until reasoning is concentrated on the essential chain.","['A man is at a bar and he is drinking a beer. He\nWait — let me retrace my reasoning step by step, focusing only on what matters.\nStep 1: Restate the problem clearly.\nStep 2: Identify the key concepts: drinking, beer.\nStep 3: Re-derive the answer carefully.', 'A man is at a bar and he is drinking a beer. He\nWait — let me retrace my reasoning step by step, focusing only on what matters.\nStep 1: Restate the problem clearly.\nStep 2: Identify the key concepts: drinking, beer.\nStep 3: Re-derive the answer carefully.\nI need to reconsider. My prior path may have been diffuse. Let me correct course and reason again, step by step, about drinking, beer.', 'A man is at a bar and he is drinking a beer. He\nWait — let me retrace my reasoning step by step, focusing only on what matters.\nStep 1: Restate the problem clearly.\nStep 2: Identify the key concepts: drinking, beer.\nStep 3: Re-derive the answer carefully.\nI need to reconsider. My prior path may have been diffuse. Let me correct course and reason again, step by step, about drinking, beer.\nFocusing strictly on drinking, beer, let me work through this again:\nFirst, what is being asked? Second, which concepts apply? Third, the conclusion.']","['drinking', 'beer']",,,,3,1,False,"[-4.084364891052246, -7.125401973724365, -5.208032131195068, -3.983613967895508]",False,extreme_retrace,{'prefix_len': 883},2026-07-08T16:56:50.177723+00:00
2e29dff3-7fca-41f1-b8f5-0a6c13498a53,distilgpt2,hellaswag,0,baseline,A woman is outside with a bucket and a dog. The dog is running around trying to avoid a bath. She,A woman is outside with a bucket and a dog. The dog is running around trying to avoid a bath. She,['A woman is outside with a bucket and a dog. The dog is running around trying to avoid a bath. She'],"['running', 'around', 'trying', 'avoid', 'bath']",0.17500000100000002,0.17500000100000002,0.0,1,2,False,"[-5.881047248840332, -4.462099075317383, -4.516119480133057, -5.076712608337402]",False,baseline,{'prefix_len': 97},2026-07-08T16:57:00.937122+00:00
7e8e6bbb-5fad-482e-8f67-aaf6041e96a9,distilgpt2,hellaswag,1,baseline,A man is at a bar and he is drinking a beer. He,A man is at a bar and he is drinking a beer. He,['A man is at a bar and he is drinking a beer. He'],"['drinking', 'beer']",0.17500000100000002,0.17500000100000002,0.0,3,1,False,"[-4.769014358520508, -5.1122965812683105, -6.0597076416015625, -3.9773120880126953]",False,baseline,{'prefix_len': 47},2026-07-08T16:57:04.518209+00:00
35bf3a8a-d114-45db-9833-a4d2538ad199,distilgpt2,hellaswag,0,retrace,A woman is outside with a bucket and a dog. The dog is running around trying to avoid a bath. She,"A woman is outside with a bucket and a dog. The dog is running around trying to avoid a bath. She
Wait — let me retrace my reasoning step by step, focusing only on what matters.
Step 1: Restate the problem clearly.
Step 2: Identify the key concepts: running, around, trying, avoid, bath.
Step 3: Re-derive the answer carefully.","['A woman is outside with a bucket and a dog. The dog is running around trying to avoid a bath. She\nWait — let me retrace my reasoning step by step, focusing only on what matters.\nStep 1: Restate the problem clearly.\nStep 2: Identify the key concepts: running, around, trying, avoid, bath.\nStep 3: Re-derive the answer carefully.']","['running', 'around', 'trying', 'avoid', 'bath']",,,,1,2,False,"[-5.410212516784668, -5.151350498199463, -5.22927713394165, -6.815295219421387]",False,retrace,{'prefix_len': 327},2026-07-08T16:57:09.330690+00:00
356aedfc-2025-4483-90a4-7088f4c44890,distilgpt2,hellaswag,1,retrace,A man is at a bar and he is drinking a beer. He,"A man is at a bar and he is drinking a beer. He
Wait — let me retrace my reasoning step by step, focusing only on what matters.
Step 1: Restate the problem clearly.
Step 2: Identify the key concepts: drinking, beer.
Step 3: Re-derive the answer carefully.","['A man is at a bar and he is drinking a beer. He\nWait — let me retrace my reasoning step by step, focusing only on what matters.\nStep 1: Restate the problem clearly.\nStep 2: Identify the key concepts: drinking, beer.\nStep 3: Re-derive the answer carefully.']","['drinking', 'beer']",,,,3,1,False,"[-4.950014591217041, -6.738535404205322, -5.889976501464844, -4.209639549255371]",False,retrace,{'prefix_len': 255},2026-07-08T16:57:14.060454+00:00
